"","tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"36034","Departamento","Nuñez",2,1,52,204305
"36035","Departamento","Nuñez",1,1,41,150000
"36036","Departamento","Nuñez",2,1,61,245000
"36037","Departamento","Almagro",3,2,87,167000
"36038","Departamento","Coghlan",3,1,79,230000
"36039","Departamento","Coghlan",3,1,79,230000
"36040","Departamento","Palermo",3,2,67,260000
"36041","Departamento","Palermo",1,1,39,123000
"36042","Departamento","Palermo",1,1,37,134000
"36043","Departamento","Palermo",4,2,193,849000
"36044","Departamento","Palermo",4,2,124,575000
"36045","Departamento","Palermo",3,2,75,289000
"36046","Departamento","Palermo",2,1,45,138000
"36047","Departamento","Palermo",1,1,28,100000
"36048","Departamento","Palermo",2,1,58,159500
"36049","Departamento","Palermo",3,1,107,345000
"36050","Departamento","Palermo",2,1,55,220000
"36051","Departamento","Palermo",4,2,75,205000
"36052","Departamento","Belgrano",3,1,43,112000
"36053","Departamento","Belgrano",1,1,35,129800
"36054","Departamento","Belgrano",4,4,217,850000
"36055","Departamento","Belgrano",1,1,42,148000
"36056","Departamento","Belgrano",4,3,145,490000
"36057","Departamento","Belgrano",1,1,45,149000
"36058","Departamento","Belgrano",1,1,41,150000
"36059","Departamento","Belgrano",6,2,251,680000
"36060","Departamento","Belgrano",2,1,48,155000
"36061","Departamento","Belgrano",1,1,45,149000
"36062","Departamento","Congreso",1,1,38,120000
"36063","Departamento","Recoleta",3,1,70,192000
"36064","Departamento","Recoleta",4,2,68,205000
"36065","Departamento","Caballito",3,2,80,279000
"36066","Departamento","Caballito",2,1,42,95000
"36067","Departamento","Caballito",4,2,140,270000
"36068","Departamento","Caballito",3,1,63,229000
"36069","Departamento","Caballito",3,1,70,195000
"36070","Departamento","Mataderos",4,2,99,265000
"36071","Departamento","Mataderos",2,1,50,115000
"36072","Departamento","Mataderos",3,1,53,158000
"36073","Departamento","Mataderos",2,1,45,135000
"36074","Departamento","Monserrat",1,1,40,135000
"36075","Departamento","San Telmo",1,1,40,135000
"36076","Departamento","San Telmo",1,1,46,85000
"36077","Departamento","Colegiales",2,1,52,132000
"36078","Departamento","Barrio Norte",2,1,47,145000
"36079","Departamento","Barrio Norte",1,1,45,160000
"36080","Departamento","Villa Crespo",1,1,40,99000
"36081","Departamento","Villa Crespo",1,1,40,99000
"36082","Departamento","Villa Crespo",1,1,40,99000
"36083","Departamento","Villa Crespo",2,1,28,79000
"36084","Departamento","Villa Crespo",1,1,40,109000
"36085","Departamento","Villa Crespo",3,1,93,195000
"36086","Departamento","Villa Crespo",1,1,39,83000
"36087","Departamento","San Cristobal",1,1,45,78000
"36088","Departamento","San Cristobal",3,1,55,100000
"36089","Departamento","Villa Urquiza",3,1,79,230000
"36090","Departamento","Villa Urquiza",1,1,48,135000
"36091","PH","Almagro",2,1,48,99000
"36092","PH","Palermo",2,1,58,127000
"36093","PH","Palermo",2,1,58,127000
"36094","PH","Palermo",2,1,45,125000
"36095","PH","Parque Centenario",2,1,48,99000
"36096","Departamento","Almagro",2,1,40,88000
"36097","Departamento","Almagro",2,1,41,97000
"36098","Departamento","Almagro",2,1,42,98000
"36099","Departamento","Almagro",2,1,48,106000
"36100","Departamento","Palermo",1,1,38,140000
"36101","Departamento","Palermo",2,2,94,250000
"36102","Departamento","Palermo",2,1,60,114500
"36103","Departamento","Belgrano",2,1,50,252000
"36104","Departamento","Balvanera",2,1,43,95000
"36105","Departamento","Balvanera",2,1,59,110000
"36106","Departamento","Parque Chas",2,1,46,125000
"36107","Departamento","Barrio Norte",2,1,42,115000
"36108","Departamento","Barrio Norte",2,1,41,130000
"36109","Departamento","Villa Crespo",1,1,30,93500
"36110","Departamento","Villa Crespo",2,1,40,95000
"36111","Departamento","Villa Urquiza",2,1,33,122000
"36112","Departamento","Parque Centenario",2,1,37,85000
"36113","Departamento","Parque Centenario",2,1,50,115000
"36114","Departamento","Boca",3,1,58,120000
"36115","Departamento","Abasto",3,2,92,430000
"36116","Departamento","Abasto",3,2,70,185000
"36117","Departamento","Nuñez",3,2,76,285000
"36118","Departamento","Almagro",3,1,68,155000
"36119","Departamento","Almagro",3,1,84,145000
"36120","Departamento","Almagro",3,1,58,150000
"36121","Departamento","Almagro",3,2,70,178000
"36122","Departamento","Palermo",3,1,66,174000
"36123","Departamento","Palermo",3,1,98,309000
"36124","Departamento","Palermo",3,2,95,250000
"36125","Departamento","Palermo",3,1,98,309000
"36126","Departamento","Recoleta",3,2,95,330000
"36127","Departamento","Recoleta",3,1,68,245000
"36128","Departamento","Recoleta",3,1,68,245000
"36129","Departamento","Saavedra",3,1,71,185000
"36130","Departamento","Barrio Norte",3,2,70,259000
"36131","Departamento","Barrio Norte",3,1,68,250000
"36132","Departamento","Barrio Norte",3,1,68,250000
"36133","Departamento","Barrio Norte",3,2,70,259000
"36134","Departamento","Las Cañitas",3,2,80,187000
"36135","Departamento","Villa Crespo",3,1,64,140000
"36136","Departamento","Villa Crespo",3,1,65,144000
"36137","Departamento","Puerto Madero",3,1,100,475000
"36138","Departamento","Villa Urquiza",3,1,75,179000
"36139","Departamento","Abasto",4,2,79,228000
"36140","Departamento","Almagro",4,2,124,245000
"36141","Departamento","Almagro",4,2,103,275000
"36142","Departamento","Almagro",4,2,215,390000
"36143","Departamento","Palermo",4,3,168,395000
"36144","Departamento","Palermo",4,1,72,232000
"36145","Departamento","Recoleta",5,3,149,370000
"36146","Departamento","Balvanera",4,1,56,143000
"36147","Departamento","Caballito",4,4,134,299000
"36148","Departamento","Chacarita",4,2,80,179000
"36149","Departamento","Villa Devoto",4,2,121,420000
"36150","PH","Flores",3,1,117,158000
"36151","PH","Flores",4,2,106,225000
"36152","PH","Almagro",3,1,120,170000
"36153","PH","Almagro",2,1,57,134000
"36154","PH","Palermo",4,2,103,350000
"36155","PH","San Telmo",3,1,76,155000
"36156","PH","Villa Crespo",3,1,120,170000
"36157","PH","Villa Devoto",2,1,83,182000
"36158","PH","Villa Lugano",4,1,122,175000
